timestamp,fecha,hora,dia_semana,mes,src_ip,dst_ip,dst_port,protocol,action,bytes,country,severity,mitre_technique
2024-01-15 17:43:31,2024-01-15,17,Monday,2024-01,45.27.52.174,10.0.0.50,3389,TCP,deny,31595,China,critica,T1021
2024-02-23 04:22:38,2024-02-23,4,Friday,2024-02,45.45.125.58,10.0.0.2,21,TCP,deny,6465,China,critica,T1071
2024-01-26 04:40:44,2024-01-26,4,Friday,2024-01,192.168.5.227,10.0.0.1,993,TCP,allow,11410,México,media,
2024-01-15 17:59:58,2024-01-15,17,Monday,2024-01,45.91.57.7,10.0.0.43,23,ICMP,deny,22209,Corea del Norte,critica,T1110
2024-02-21 05:52:35,2024-02-21,5,Wednesday,2024-02,45.21.111.60,10.0.0.48,3306,UDP,allow,45392,Rusia,media,T1190
2024-01-02 17:29:51,2024-01-02,17,Tuesday,2024-01,192.168.0.175,10.0.0.11,443,TCP,allow,36430,China,baja,
2024-02-20 13:59:29,2024-02-20,13,Tuesday,2024-02,192.168.2.103,10.0.0.32,80,TCP,allow,15579,Alemania,baja,
2024-01-09 14:17:11,2024-01-09,14,Tuesday,2024-01,45.74.13.144,10.0.0.42,445,UDP,allow,7996,Irán,baja,T1021
2024-02-19 00:32:32,2024-02-19,0,Monday,2024-02,192.168.2.180,10.0.0.4,993,TCP,allow,11008,China,baja,
2024-02-15 07:20:56,2024-02-15,7,Thursday,2024-02,192.168.2.40,10.0.0.4,443,ICMP,allow,2673,Irán,media,
2024-01-07 04:12:52,2024-01-07,4,Sunday,2024-01,45.64.16.8,10.0.0.50,445,UDP,deny,6485,Rusia,critica,T1021
2024-02-07 11:59:35,2024-02-07,11,Wednesday,2024-02,45.91.57.7,10.0.0.35,8080,TCP,deny,47278,Corea del Norte,alta,T1190
2024-01-05 17:47:12,2024-01-05,17,Friday,2024-01,192.168.4.120,10.0.0.49,80,UDP,allow,13443,Estados Unidos,baja,
2024-01-20 00:48:29,2024-01-20,0,Saturday,2024-01,192.168.5.177,10.0.0.28,80,TCP,allow,47273,Brasil,baja,
2024-02-25 09:47:41,2024-02-25,9,Sunday,2024-02,45.35.214.57,10.0.0.26,22,TCP,deny,30058,Irán,alta,T1110
2024-02-07 10:46:02,2024-02-07,10,Wednesday,2024-02,192.168.3.21,10.0.0.5,53,UDP,allow,29482,Estados Unidos,baja,
2024-02-17 16:58:43,2024-02-17,16,Saturday,2024-02,192.168.0.251,10.0.0.24,110,TCP,allow,7336,Estados Unidos,baja,
2024-02-11 18:09:29,2024-02-11,18,Sunday,2024-02,192.168.1.68,10.0.0.22,123,TCP,allow,28841,Países Bajos,baja,
2024-02-28 13:16:13,2024-02-28,13,Wednesday,2024-02,45.45.125.58,10.0.0.12,1433,UDP,deny,49022,Desconocido,critica,T1190
2024-02-04 02:15:54,2024-02-04,2,Sunday,2024-02,192.168.5.68,10.0.0.46,80,ICMP,allow,15231,Estados Unidos,baja,
2024-01-11 16:05:39,2024-01-11,16,Thursday,2024-01,45.27.52.174,10.0.0.17,3306,UDP,deny,1653,Rusia,alta,T1190
2024-02-03 18:43:57,2024-02-03,18,Saturday,2024-02,192.168.0.251,10.0.0.36,443,UDP,allow,4405,China,media,
2024-02-01 21:18:47,2024-02-01,21,Thursday,2024-02,192.168.4.43,10.0.0.38,53,TCP,allow,27273,China,baja,
2024-01-06 06:27:40,2024-01-06,6,Saturday,2024-01,45.21.111.60,10.0.0.20,445,ICMP,allow,36694,Corea del Norte,media,T1021
2024-01-13 14:32:31,2024-01-13,14,Saturday,2024-01,45.27.52.174,10.0.0.20,1433,TCP,deny,23540,China,critica,T1190
2024-02-12 00:17:55,2024-02-12,0,Monday,2024-02,192.168.2.126,10.0.0.11,80,UDP,allow,12165,Rusia,baja,
2024-01-15 02:39:44,2024-01-15,2,Monday,2024-01,192.168.4.120,10.0.0.40,53,TCP,allow,14416,Estados Unidos,baja,
2024-01-31 02:04:37,2024-01-31,2,Wednesday,2024-01,192.168.1.139,10.0.0.48,53,TCP,allow,33476,Rusia,baja,
2024-01-03 00:24:40,2024-01-03,0,Wednesday,2024-01,192.168.2.126,10.0.0.50,25,UDP,allow,26572,Estados Unidos,media,
2024-02-01 04:01:55,2024-02-01,4,Thursday,2024-02,192.168.2.207,10.0.0.31,443,UDP,allow,11098,India,media,
2024-01-26 16:45:48,2024-01-26,16,Friday,2024-01,45.27.52.174,10.0.0.35,1433,TCP,deny,17852,Corea del Norte,critica,T1190
