timestamp,src_ip,dst_ip,protocol,packet_size,duration,flag,bytes_sent,bytes_received
2024-01-20 00:29:38,192.168.5.150,10.0.0.20,UDP,610,7.671,FIN,43225,16119
2024-01-05 03:21:44,45.91.57.7,10.0.0.14,UDP,64026,0.445,SYN,3262462,69020
2024-02-03 18:25:43,192.168.1.238,10.0.0.31,ICMP,944,29.766,SYN,178615,32157
2024-01-17 12:39:15,192.168.4.17,10.0.0.36,ICMP,908,17.943,ACK,22386,30505
2024-02-16 02:41:50,192.168.2.225,10.0.0.14,ICMP,696,21.703,PSH,73435,84396
2024-01-29 03:17:50,192.168.2.253,10.0.0.10,UDP,274,6.626,SYN,188070,84311
2024-02-08 14:55:34,192.168.4.17,10.0.0.25,UDP,115,4.599,SYN,71349,4814
2024-01-07 03:42:38,192.168.4.68,10.0.0.36,ICMP,83,2.05,SYN,141059,87525
2024-02-20 15:20:07,192.168.4.243,10.0.0.25,TCP,392,9.992,SYN,173659,50991
2024-01-17 00:56:44,192.168.1.179,10.0.0.18,UDP,120,1.454,FIN,164744,68661
2024-01-10 10:06:56,192.168.4.225,10.0.0.27,ICMP,652,7.663,SYN,165016,54898
2024-01-21 01:35:26,192.168.5.122,10.0.0.37,UDP,1372,19.553,FIN,140460,29595
2024-01-19 01:57:15,192.168.1.222,10.0.0.20,TCP,320,3.625,ACK,11842,6021
2024-02-18 13:14:28,192.168.0.250,10.0.0.5,TCP,1199,17.652,PSH,157839,48358
2024-02-19 01:50:37,192.168.0.12,10.0.0.18,ICMP,229,16.137,RST,145608,22724
2024-01-31 15:58:21,192.168.5.81,10.0.0.41,TCP,878,29.403,SYN,126432,65101
2024-02-09 11:43:33,192.168.2.253,10.0.0.40,TCP,1237,5.543,FIN,127836,3160
2024-02-25 10:37:19,192.168.1.246,10.0.0.17,ICMP,485,,ACK,195116,15323
2024-02-18 02:28:27,192.168.1.42,10.0.0.49,UDP,1179,19.327,PSH,162101,63025
2024-02-29 15:32:00,192.168.2.197,10.0.0.43,UDP,208,0.553,ACK,150122,67076
2024-02-25 10:04:11,192.168.1.179,10.0.0.42,UDP,1299,5.495,RST,134338,6135
2024-02-21 16:22:07,192.168.1.17,10.0.0.38,UDP,666,3.758,SYN,43559,63515
2024-01-07 13:36:53,192.168.3.151,10.0.0.25,ICMP,1085,21.336,ACK,61335,2790
2024-01-19 01:00:32,192.168.2.62,10.0.0.27,TCP,414,11.556,ACK,123478,82923
2024-01-25 12:05:17,192.168.0.64,10.0.0.41,UDP,1050,9.548,PSH,133675,25355
2024-01-26 15:08:32,192.168.0.250,10.0.0.3,ICMP,1025,14.569,SYN,154252,77976
2024-01-24 14:14:59,192.168.2.117,10.0.0.33,TCP,804,,PSH,66844,61605
2024-02-19 16:43:50,192.168.4.51,10.0.0.13,TCP,205,19.593,FIN,140699,50513
2024-01-15 15:06:28,192.168.2.136,10.0.0.40,UDP,223,17.758,PSH,81800,83744
2024-02-20 04:10:50,192.168.5.68,10.0.0.5,TCP,295,27.451,SYN,198947,86929
2024-02-18 01:48:11,192.168.4.65,10.0.0.5,TCP,782,27.846,PSH,151085,5779
2024-01-23 04:41:44,192.168.1.222,10.0.0.5,TCP,142,7.592,FIN,7424,31321
2024-02-21 10:30:53,45.74.13.144,10.0.0.2,UDP,12302,0.145,SYN,4815691,94475
2024-01-06 07:27:34,192.168.5.59,10.0.0.9,UDP,60,25.674,ACK,158337,67299
2024-01-26 02:13:58,192.168.5.44,10.0.0.14,ICMP,1017,2.046,RST,189512,42805
2024-02-25 00:17:22,45.35.214.57,10.0.0.22,TCP,49210,0.461,FIN,4171357,51436
2024-02-12 02:54:08,192.168.5.177,10.0.0.7,TCP,1070,2.271,SYN,1606,25962
2024-01-06 01:12:50,192.168.4.109,10.0.0.47,TCP,629,22.25,PSH,72303,10646
2024-01-09 18:28:59,192.168.5.159,10.0.0.34,UDP,1128,20.615,PSH,176690,22048
2024-02-09 01:51:43,192.168.5.84,10.0.0.18,TCP,361,23.153,FIN,146947,49181
